constellation,constellationLabel,area,abbreviation,neighborConstellations
http://www.wikidata.org/entity/Q8667,Волопас,907,Boo,http://www.wikidata.org/entity/Q8675
http://www.wikidata.org/entity/Q8667,Волопас,907,Boo,http://www.wikidata.org/entity/Q8842
http://www.wikidata.org/entity/Q8667,Волопас,907,Boo,http://www.wikidata.org/entity/Q8910
http://www.wikidata.org/entity/Q8667,Волопас,907,Boo,http://www.wikidata.org/entity/Q8918
http://www.wikidata.org/entity/Q8667,Волопас,907,Boo,http://www.wikidata.org/entity/Q9285
http://www.wikidata.org/entity/Q8667,Волопас,907,Boo,http://www.wikidata.org/entity/Q10406
http://www.wikidata.org/entity/Q8667,Волопас,907,Boo,http://www.wikidata.org/entity/Q10448
http://www.wikidata.org/entity/Q8667,Волопас,907,Boo,http://www.wikidata.org/entity/Q10452
http://www.wikidata.org/entity/Q8675,Дракон,1083,Dra,http://www.wikidata.org/entity/Q8667
http://www.wikidata.org/entity/Q8675,Дракон,1083,Dra,http://www.wikidata.org/entity/Q8832
http://www.wikidata.org/entity/Q8675,Дракон,1083,Dra,http://www.wikidata.org/entity/Q8918
http://www.wikidata.org/entity/Q8675,Дракон,1083,Dra,http://www.wikidata.org/entity/Q8921
http://www.wikidata.org/entity/Q8675,Дракон,1083,Dra,http://www.wikidata.org/entity/Q10448
http://www.wikidata.org/entity/Q8675,Дракон,1083,Dra,http://www.wikidata.org/entity/Q10468
http://www.wikidata.org/entity/Q8675,Дракон,1083,Dra,http://www.wikidata.org/entity/Q10478
http://www.wikidata.org/entity/Q8675,Дракон,1083,Dra,http://www.wikidata.org/entity/Q10484
http://www.wikidata.org/entity/Q8679,Рыбы,889,Psc,http://www.wikidata.org/entity/Q8839
http://www.wikidata.org/entity/Q8679,Рыбы,889,Psc,http://www.wikidata.org/entity/Q8864
http://www.wikidata.org/entity/Q8679,Рыбы,889,Psc,http://www.wikidata.org/entity/Q9256
http://www.wikidata.org/entity/Q8679,Рыбы,889,Psc,http://www.wikidata.org/entity/Q10565
http://www.wikidata.org/entity/Q8679,Рыбы,889,Psc,http://www.wikidata.org/entity/Q10576
http://www.wikidata.org/entity/Q8679,Рыбы,889,Psc,http://www.wikidata.org/entity/Q10584
http://www.wikidata.org/entity/Q8832,Жираф,757,Cam,http://www.wikidata.org/entity/Q8675
http://www.wikidata.org/entity/Q8832,Жираф,757,Cam,http://www.wikidata.org/entity/Q8918
http://www.wikidata.org/entity/Q8832,Жираф,757,Cam,http://www.wikidata.org/entity/Q10443
http://www.wikidata.org/entity/Q8832,Жираф,757,Cam,http://www.wikidata.org/entity/Q10464
http://www.wikidata.org/entity/Q8832,Жираф,757,Cam,http://www.wikidata.org/entity/Q10468
http://www.wikidata.org/entity/Q8832,Жираф,757,Cam,http://www.wikidata.org/entity/Q10476
http://www.wikidata.org/entity/Q8832,Жираф,757,Cam,http://www.wikidata.org/entity/Q10478
http://www.wikidata.org/entity/Q8832,Жираф,757,Cam,http://www.wikidata.org/entity/Q10511
http://www.wikidata.org/entity/Q8837,Золотая Рыба,179,Dor,http://www.wikidata.org/entity/Q9289
http://www.wikidata.org/entity/Q8837,Золотая Рыба,179,Dor,http://www.wikidata.org/entity/Q10416
http://www.wikidata.org/entity/Q8837,Золотая Рыба,179,Dor,http://www.wikidata.org/entity/Q10437
http://www.wikidata.org/entity/Q8837,Золотая Рыба,179,Dor,http://www.wikidata.org/entity/Q10486
http://www.wikidata.org/entity/Q8837,Золотая Рыба,179,Dor,http://www.wikidata.org/entity/Q10488
http://www.wikidata.org/entity/Q8837,Золотая Рыба,179,Dor,http://www.wikidata.org/entity/Q10498
http://www.wikidata.org/entity/Q8837,Золотая Рыба,179,Dor,http://www.wikidata.org/entity/Q10574
http://www.wikidata.org/entity/Q8839,Кит,1231,Cet,http://www.wikidata.org/entity/Q8679
http://www.wikidata.org/entity/Q8839,Кит,1231,Cet,http://www.wikidata.org/entity/Q8913
http://www.wikidata.org/entity/Q8839,Кит,1231,Cet,http://www.wikidata.org/entity/Q9286
http://www.wikidata.org/entity/Q8839,Кит,1231,Cet,http://www.wikidata.org/entity/Q10433
http://www.wikidata.org/entity/Q8839,Кит,1231,Cet,http://www.wikidata.org/entity/Q10570
http://www.wikidata.org/entity/Q8839,Кит,1231,Cet,http://www.wikidata.org/entity/Q10576
http://www.wikidata.org/entity/Q8839,Кит,1231,Cet,http://www.wikidata.org/entity/Q10584
http://www.wikidata.org/entity/Q8842,Дева,1294,Vir,http://www.wikidata.org/entity/Q8667
http://www.wikidata.org/entity/Q8842,Дева,1294,Vir,http://www.wikidata.org/entity/Q8853
http://www.wikidata.org/entity/Q8842,Дева,1294,Vir,http://www.wikidata.org/entity/Q8910
http://www.wikidata.org/entity/Q8842,Дева,1294,Vir,http://www.wikidata.org/entity/Q9282
http://www.wikidata.org/entity/Q8842,Дева,1294,Vir,http://www.wikidata.org/entity/Q9285
http://www.wikidata.org/entity/Q8842,Дева,1294,Vir,http://www.wikidata.org/entity/Q10517
http://www.wikidata.org/entity/Q8842,Дева,1294,Vir,http://www.wikidata.org/entity/Q10578
http://www.wikidata.org/entity/Q8842,Дева,1294,Vir,http://www.wikidata.org/entity/Q10580
http://www.wikidata.org/entity/Q8844,Центавр,1060,Cen,http://www.wikidata.org/entity/Q10435
http://www.wikidata.org/entity/Q8844,Центавр,1060,Cen,http://www.wikidata.org/entity/Q10470
http://www.wikidata.org/entity/Q8844,Центавр,1060,Cen,http://www.wikidata.org/entity/Q10481
http://www.wikidata.org/entity/Q8844,Центавр,1060,Cen,http://www.wikidata.org/entity/Q10508
http://www.wikidata.org/entity/Q8844,Центавр,1060,Cen,http://www.wikidata.org/entity/Q10521
http://www.wikidata.org/entity/Q8844,Центавр,1060,Cen,http://www.wikidata.org/entity/Q10542
http://www.wikidata.org/entity/Q8844,Центавр,1060,Cen,http://www.wikidata.org/entity/Q10571
http://www.wikidata.org/entity/Q8844,Центавр,1060,Cen,http://www.wikidata.org/entity/Q10578
http://www.wikidata.org/entity/Q8844,Центавр,1060,Cen,http://www.wikidata.org/entity/Q10580
http://www.wikidata.org/entity/Q8853,Лев,947,Leo,http://www.wikidata.org/entity/Q8842
http://www.wikidata.org/entity/Q8853,Лев,947,Leo,http://www.wikidata.org/entity/Q8849
http://www.wikidata.org/entity/Q8853,Лев,947,Leo,http://www.wikidata.org/entity/Q8918
http://www.wikidata.org/entity/Q8853,Лев,947,Leo,http://www.wikidata.org/entity/Q9282
http://www.wikidata.org/entity/Q8853,Лев,947,Leo,http://www.wikidata.org/entity/Q9285
http://www.wikidata.org/entity/Q8853,Лев,947,Leo,http://www.wikidata.org/entity/Q10403
http://www.wikidata.org/entity/Q8853,Лев,947,Leo,http://www.wikidata.org/entity/Q10443
http://www.wikidata.org/entity/Q8853,Лев,947,Leo,http://www.wikidata.org/entity/Q10525
http://www.wikidata.org/entity/Q8853,Лев,947,Leo,http://www.wikidata.org/entity/Q10578
http://www.wikidata.org/entity/Q8860,Орион,594,Ori,http://www.wikidata.org/entity/Q8923
http://www.wikidata.org/entity/Q8860,Орион,594,Ori,http://www.wikidata.org/entity/Q10428
http://www.wikidata.org/entity/Q8860,Орион,594,Ori,http://www.wikidata.org/entity/Q10433
http://www.wikidata.org/entity/Q8860,Орион,594,Ori,http://www.wikidata.org/entity/Q10446
http://www.wikidata.org/entity/Q8860,Орион,594,Ori,http://www.wikidata.org/entity/Q10570
http://www.wikidata.org/entity/Q8864,Пегас,1121,Peg,http://www.wikidata.org/entity/Q8679
http://www.wikidata.org/entity/Q8864,Пегас,1121,Peg,http://www.wikidata.org/entity/Q8921
http://www.wikidata.org/entity/Q8864,Пегас,1121,Peg,http://www.wikidata.org/entity/Q9256
http://www.wikidata.org/entity/Q8864,Пегас,1121,Peg,http://www.wikidata.org/entity/Q9302
http://www.wikidata.org/entity/Q8864,Пегас,1121,Peg,http://www.wikidata.org/entity/Q10430
http://www.wikidata.org/entity/Q8864,Пегас,1121,Peg,http://www.wikidata.org/entity/Q10438
http://www.wikidata.org/entity/Q8864,Пегас,1121,Peg,http://www.wikidata.org/entity/Q10519
http://www.wikidata.org/entity/Q8864,Пегас,1121,Peg,http://www.wikidata.org/entity/Q10576
http://www.wikidata.org/entity/Q8865,Скорпион,497,Sco,http://www.wikidata.org/entity/Q8866
http://www.wikidata.org/entity/Q8865,Скорпион,497,Sco,http://www.wikidata.org/entity/Q8906
http://www.wikidata.org/entity/Q8865,Скорпион,497,Sco,http://www.wikidata.org/entity/Q9253
http://www.wikidata.org/entity/Q8865,Скорпион,497,Sco,http://www.wikidata.org/entity/Q10413
http://www.wikidata.org/entity/Q8865,Скорпион,497,Sco,http://www.wikidata.org/entity/Q10571
http://www.wikidata.org/entity/Q8865,Скорпион,497,Sco,http://www.wikidata.org/entity/Q10580
http://www.wikidata.org/entity/Q8865,Скорпион,497,Sco,http://www.wikidata.org/entity/Q10582
http://www.wikidata.org/entity/Q8866,Стрелец,867,Sgr,http://www.wikidata.org/entity/Q8865
http://www.wikidata.org/entity/Q8866,Стрелец,867,Sgr,http://www.wikidata.org/entity/Q8906
http://www.wikidata.org/entity/Q8866,Стрелец,867,Sgr,http://www.wikidata.org/entity/Q8910
http://www.wikidata.org/entity/Q8866,Стрелец,867,Sgr,http://www.wikidata.org/entity/Q10413
http://www.wikidata.org/entity/Q8866,Стрелец,867,Sgr,http://www.wikidata.org/entity/Q10450
http://www.wikidata.org/entity/Q8866,Стрелец,867,Sgr,http://www.wikidata.org/entity/Q10492
http://www.wikidata.org/entity/Q8866,Стрелец,867,Sgr,http://www.wikidata.org/entity/Q10529
http://www.wikidata.org/entity/Q8866,Стрелец,867,Sgr,http://www.wikidata.org/entity/Q10535
http://www.wikidata.org/entity/Q8866,Стрелец,867,Sgr,http://www.wikidata.org/entity/Q10546
http://www.wikidata.org/entity/Q8866,Стрелец,867,Sgr,http://www.wikidata.org/entity/Q10586
http://www.wikidata.org/entity/Q8906,Змееносец,948,Oph,http://www.wikidata.org/entity/Q8865
http://www.wikidata.org/entity/Q8906,Змееносец,948,Oph,http://www.wikidata.org/entity/Q8866
http://www.wikidata.org/entity/Q8906,Змееносец,948,Oph,http://www.wikidata.org/entity/Q8910
http://www.wikidata.org/entity/Q8906,Змееносец,948,Oph,http://www.wikidata.org/entity/Q10448
http://www.wikidata.org/entity/Q8906,Змееносец,948,Oph,http://www.wikidata.org/entity/Q10580
http://www.wikidata.org/entity/Q8906,Змееносец,948,Oph,http://www.wikidata.org/entity/Q10586
http://www.wikidata.org/entity/Q8910,Змея,637,Ser,http://www.wikidata.org/entity/Q8667
http://www.wikidata.org/entity/Q8910,Змея,637,Ser,http://www.wikidata.org/entity/Q8842
http://www.wikidata.org/entity/Q8910,Змея,637,Ser,http://www.wikidata.org/entity/Q8866
http://www.wikidata.org/entity/Q8910,Змея,637,Ser,http://www.wikidata.org/entity/Q8906
http://www.wikidata.org/entity/Q8910,Змея,637,Ser,http://www.wikidata.org/entity/Q10406
http://www.wikidata.org/entity/Q8910,Змея,637,Ser,http://www.wikidata.org/entity/Q10448
http://www.wikidata.org/entity/Q8910,Змея,637,Ser,http://www.wikidata.org/entity/Q10529
http://www.wikidata.org/entity/Q8910,Змея,637,Ser,http://www.wikidata.org/entity/Q10580
http://www.wikidata.org/entity/Q8910,Змея,637,Ser,http://www.wikidata.org/entity/Q10586
http://www.wikidata.org/entity/Q8913,Печь,397.5,For,http://www.wikidata.org/entity/Q8839
http://www.wikidata.org/entity/Q8913,Печь,397.5,For,http://www.wikidata.org/entity/Q9286
http://www.wikidata.org/entity/Q8913,Печь,397.5,For,http://www.wikidata.org/entity/Q10433
http://www.wikidata.org/entity/Q8913,Печь,397.5,For,http://www.wikidata.org/entity/Q10441
http://www.wikidata.org/entity/Q8918,Большая Медведица,1280,UMa,http://www.wikidata.org/entity/Q8667
http://www.wikidata.org/entity/Q8918,Большая Медведица,1280,UMa,http://www.wikidata.org/entity/Q8675
http://www.wikidata.org/entity/Q8918,Большая Медведица,1280,UMa,http://www.wikidata.org/entity/Q8832
http://www.wikidata.org/entity/Q8918,Большая Медведица,1280,UMa,http://www.wikidata.org/entity/Q8853
http://www.wikidata.org/entity/Q8918,Большая Медведица,1280,UMa,http://www.wikidata.org/entity/Q9285
http://www.wikidata.org/entity/Q8918,Большая Медведица,1280,UMa,http://www.wikidata.org/entity/Q10403
http://www.wikidata.org/entity/Q8918,Большая Медведица,1280,UMa,http://www.wikidata.org/entity/Q10443
http://www.wikidata.org/entity/Q8918,Большая Медведица,1280,UMa,http://www.wikidata.org/entity/Q10452
http://www.wikidata.org/entity/Q8921,Лебедь,804,Cyg,http://www.wikidata.org/entity/Q8675
http://www.wikidata.org/entity/Q8921,Лебедь,804,Cyg,http://www.wikidata.org/entity/Q8864
http://www.wikidata.org/entity/Q8921,Лебедь,804,Cyg,http://www.wikidata.org/entity/Q10430
http://www.wikidata.org/entity/Q8921,Лебедь,804,Cyg,http://www.wikidata.org/entity/Q10468
http://www.wikidata.org/entity/Q8921,Лебедь,804,Cyg,http://www.wikidata.org/entity/Q10484
http://www.wikidata.org/entity/Q8921,Лебедь,804,Cyg,http://www.wikidata.org/entity/Q10519
http://www.wikidata.org/entity/Q8923,Близнецы,514,Gem,http://www.wikidata.org/entity/Q8849
http://www.wikidata.org/entity/Q8923,Близнецы,514,Gem,http://www.wikidata.org/entity/Q8860
http://www.wikidata.org/entity/Q8923,Близнецы,514,Gem,http://www.wikidata.org/entity/Q9305
http://www.wikidata.org/entity/Q8923,Близнецы,514,Gem,http://www.wikidata.org/entity/Q10428
http://www.wikidata.org/entity/Q8923,Близнецы,514,Gem,http://www.wikidata.org/entity/Q10443
http://www.wikidata.org/entity/Q8923,Близнецы,514,Gem,http://www.wikidata.org/entity/Q10476
http://www.wikidata.org/entity/Q8923,Близнецы,514,Gem,http://www.wikidata.org/entity/Q10570
http://www.wikidata.org/entity/Q9251,Корма,673,Pup,http://www.wikidata.org/entity/Q10425
http://www.wikidata.org/entity/Q9251,Корма,673,Pup,http://www.wikidata.org/entity/Q10428
http://www.wikidata.org/entity/Q9251,Корма,673,Pup,http://www.wikidata.org/entity/Q10470
http://www.wikidata.org/entity/Q9251,Корма,673,Pup,http://www.wikidata.org/entity/Q10473
http://www.wikidata.org/entity/Q9251,Корма,673,Pup,http://www.wikidata.org/entity/Q10486
http://www.wikidata.org/entity/Q9251,Корма,673,Pup,http://www.wikidata.org/entity/Q10521
http://www.wikidata.org/entity/Q9251,Корма,673,Pup,http://www.wikidata.org/entity/Q10538
http://www.wikidata.org/entity/Q9251,Корма,673,Pup,http://www.wikidata.org/entity/Q10578
http://www.wikidata.org/entity/Q9253,Жертвенник,237,Ara,http://www.wikidata.org/entity/Q8865
http://www.wikidata.org/entity/Q9253,Жертвенник,237,Ara,http://www.wikidata.org/entity/Q10413
http://www.wikidata.org/entity/Q9253,Жертвенник,237,Ara,http://www.wikidata.org/entity/Q10422
http://www.wikidata.org/entity/Q9253,Жертвенник,237,Ara,http://www.wikidata.org/entity/Q10506
http://www.wikidata.org/entity/Q9253,Жертвенник,237,Ara,http://www.wikidata.org/entity/Q10515
http://www.wikidata.org/entity/Q9253,Жертвенник,237,Ara,http://www.wikidata.org/entity/Q10546
http://www.wikidata.org/entity/Q9253,Жертвенник,237,Ara,http://www.wikidata.org/entity/Q10582
http://www.wikidata.org/entity/Q9256,Андромеда,722,And,http://www.wikidata.org/entity/Q8679
http://www.wikidata.org/entity/Q9256,Андромеда,722,And,http://www.wikidata.org/entity/Q8864
http://www.wikidata.org/entity/Q9256,Андромеда,722,And,http://www.wikidata.org/entity/Q10430
http://www.wikidata.org/entity/Q9256,Андромеда,722,And,http://www.wikidata.org/entity/Q10464
http://www.wikidata.org/entity/Q9256,Андромеда,722,And,http://www.wikidata.org/entity/Q10511
http://www.wikidata.org/entity/Q9256,Андромеда,722,And,http://www.wikidata.org/entity/Q10565
http://www.wikidata.org/entity/Q9282,Чаша,282,Crt,http://www.wikidata.org/entity/Q8842
http://www.wikidata.org/entity/Q9282,Чаша,282,Crt,http://www.wikidata.org/entity/Q8853
http://www.wikidata.org/entity/Q9282,Чаша,282,Crt,http://www.wikidata.org/entity/Q10517
http://www.wikidata.org/entity/Q9282,Чаша,282,Crt,http://www.wikidata.org/entity/Q10525
http://www.wikidata.org/entity/Q9282,Чаша,282,Crt,http://www.wikidata.org/entity/Q10578
http://www.wikidata.org/entity/Q9285,Волосы Вероники,386.5,Com,http://www.wikidata.org/entity/Q8667
http://www.wikidata.org/entity/Q9285,Волосы Вероники,386.5,Com,http://www.wikidata.org/entity/Q8842
http://www.wikidata.org/entity/Q9285,Волосы Вероники,386.5,Com,http://www.wikidata.org/entity/Q8853
http://www.wikidata.org/entity/Q9285,Волосы Вероники,386.5,Com,http://www.wikidata.org/entity/Q8918
http://www.wikidata.org/entity/Q9285,Волосы Вероники,386.5,Com,http://www.wikidata.org/entity/Q10452
http://www.wikidata.org/entity/Q9286,Скульптор,475,Scl,http://www.wikidata.org/entity/Q8839
http://www.wikidata.org/entity/Q9286,Скульптор,475,Scl,http://www.wikidata.org/entity/Q8913
http://www.wikidata.org/entity/Q9286,Скульптор,475,Scl,http://www.wikidata.org/entity/Q10409
http://www.wikidata.org/entity/Q9286,Скульптор,475,Scl,http://www.wikidata.org/entity/Q10441
http://www.wikidata.org/entity/Q9286,Скульптор,475,Scl,http://www.wikidata.org/entity/Q10563
http://www.wikidata.org/entity/Q9286,Скульптор,475,Scl,http://www.wikidata.org/entity/Q10576
http://www.wikidata.org/entity/Q9289,Столовая Гора,153,Men,http://www.wikidata.org/entity/Q8837
http://www.wikidata.org/entity/Q9289,Столовая Гора,153,Men,http://www.wikidata.org/entity/Q10416
http://www.wikidata.org/entity/Q9289,Столовая Гора,153,Men,http://www.wikidata.org/entity/Q10437
http://www.wikidata.org/entity/Q9289,Столовая Гора,153,Men,http://www.wikidata.org/entity/Q10457
http://www.wikidata.org/entity/Q9289,Столовая Гора,153,Men,http://www.wikidata.org/entity/Q10503
http://www.wikidata.org/entity/Q9302,Дельфин,189,Del,http://www.wikidata.org/entity/Q8864
http://www.wikidata.org/entity/Q9302,Дельфин,189,Del,http://www.wikidata.org/entity/Q10438
http://www.wikidata.org/entity/Q9302,Дельфин,189,Del,http://www.wikidata.org/entity/Q10513
http://www.wikidata.org/entity/Q9302,Дельфин,189,Del,http://www.wikidata.org/entity/Q10519
http://www.wikidata.org/entity/Q9302,Дельфин,189,Del,http://www.wikidata.org/entity/Q10576
http://www.wikidata.org/entity/Q9302,Дельфин,189,Del,http://www.wikidata.org/entity/Q10586
http://www.wikidata.org/entity/Q9305,Малый Пёс,183,CMi,http://www.wikidata.org/entity/Q8849
http://www.wikidata.org/entity/Q9305,Малый Пёс,183,CMi,http://www.wikidata.org/entity/Q8923
http://www.wikidata.org/entity/Q9305,Малый Пёс,183,CMi,http://www.wikidata.org/entity/Q10428
http://www.wikidata.org/entity/Q9305,Малый Пёс,183,CMi,http://www.wikidata.org/entity/Q10578
http://www.wikidata.org/entity/Q10403,Малый Лев,232,LMi,http://www.wikidata.org/entity/Q8849
http://www.wikidata.org/entity/Q10403,Малый Лев,232,LMi,http://www.wikidata.org/entity/Q8853
http://www.wikidata.org/entity/Q10403,Малый Лев,232,LMi,http://www.wikidata.org/entity/Q8918
http://www.wikidata.org/entity/Q10403,Малый Лев,232,LMi,http://www.wikidata.org/entity/Q10443
http://www.wikidata.org/entity/Q10406,Северная Корона,179,CrB,http://www.wikidata.org/entity/Q8667
http://www.wikidata.org/entity/Q10406,Северная Корона,179,CrB,http://www.wikidata.org/entity/Q8910
http://www.wikidata.org/entity/Q10406,Северная Корона,179,CrB,http://www.wikidata.org/entity/Q10448
http://www.wikidata.org/entity/Q10409,Южная Рыба,245,PsA,http://www.wikidata.org/entity/Q9286
http://www.wikidata.org/entity/Q10409,Южная Рыба,245,PsA,http://www.wikidata.org/entity/Q10492
http://www.wikidata.org/entity/Q10409,Южная Рыба,245,PsA,http://www.wikidata.org/entity/Q10535
http://www.wikidata.org/entity/Q10409,Южная Рыба,245,PsA,http://www.wikidata.org/entity/Q10563
http://www.wikidata.org/entity/Q10409,Южная Рыба,245,PsA,http://www.wikidata.org/entity/Q10576
http://www.wikidata.org/entity/Q10413,Южная Корона,128,CrA,http://www.wikidata.org/entity/Q8865
http://www.wikidata.org/entity/Q10413,Южная Корона,128,CrA,http://www.wikidata.org/entity/Q8866
http://www.wikidata.org/entity/Q10413,Южная Корона,128,CrA,http://www.wikidata.org/entity/Q9253
http://www.wikidata.org/entity/Q10413,Южная Корона,128,CrA,http://www.wikidata.org/entity/Q10546
http://www.wikidata.org/entity/Q10416,Южная Гидра,243,Hyi,http://www.wikidata.org/entity/Q8837
http://www.wikidata.org/entity/Q10416,Южная Гидра,243,Hyi,http://www.wikidata.org/entity/Q9289
http://www.wikidata.org/entity/Q10416,Южная Гидра,243,Hyi,http://www.wikidata.org/entity/Q10433
http://www.wikidata.org/entity/Q10416,Южная Гидра,243,Hyi,http://www.wikidata.org/entity/Q10441
http://www.wikidata.org/entity/Q10416,Южная Гидра,243,Hyi,http://www.wikidata.org/entity/Q10498
http://www.wikidata.org/entity/Q10416,Южная Гидра,243,Hyi,http://www.wikidata.org/entity/Q10503
http://www.wikidata.org/entity/Q10416,Южная Гидра,243,Hyi,http://www.wikidata.org/entity/Q10567
http://www.wikidata.org/entity/Q10416,Южная Гидра,243,Hyi,http://www.wikidata.org/entity/Q10574
http://www.wikidata.org/entity/Q10422,Южный Треугольник,110,TrA,http://www.wikidata.org/entity/Q9253
http://www.wikidata.org/entity/Q10422,Южный Треугольник,110,TrA,http://www.wikidata.org/entity/Q10506
http://www.wikidata.org/entity/Q10422,Южный Треугольник,110,TrA,http://www.wikidata.org/entity/Q10508
http://www.wikidata.org/entity/Q10422,Южный Треугольник,110,TrA,http://www.wikidata.org/entity/Q10582
http://www.wikidata.org/entity/Q10425,Голубь,270,Col,http://www.wikidata.org/entity/Q9251
http://www.wikidata.org/entity/Q10425,Голубь,270,Col,http://www.wikidata.org/entity/Q10446
http://www.wikidata.org/entity/Q10425,Голубь,270,Col,http://www.wikidata.org/entity/Q10486
http://www.wikidata.org/entity/Q10425,Голубь,270,Col,http://www.wikidata.org/entity/Q10488
http://www.wikidata.org/entity/Q10425,Голубь,270,Col,http://www.wikidata.org/entity/Q10538
http://www.wikidata.org/entity/Q10428,Единорог,482,Mon,http://www.wikidata.org/entity/Q8860
http://www.wikidata.org/entity/Q10428,Единорог,482,Mon,http://www.wikidata.org/entity/Q8923
http://www.wikidata.org/entity/Q10428,Единорог,482,Mon,http://www.wikidata.org/entity/Q9251
http://www.wikidata.org/entity/Q10428,Единорог,482,Mon,http://www.wikidata.org/entity/Q9305
http://www.wikidata.org/entity/Q10428,Единорог,482,Mon,http://www.wikidata.org/entity/Q10446
http://www.wikidata.org/entity/Q10428,Единорог,482,Mon,http://www.wikidata.org/entity/Q10538
http://www.wikidata.org/entity/Q10428,Единорог,482,Mon,http://www.wikidata.org/entity/Q10578
http://www.wikidata.org/entity/Q10430,Ящерица,201,Lac,http://www.wikidata.org/entity/Q8864
http://www.wikidata.org/entity/Q10430,Ящерица,201,Lac,http://www.wikidata.org/entity/Q8921
http://www.wikidata.org/entity/Q10430,Ящерица,201,Lac,http://www.wikidata.org/entity/Q9256
http://www.wikidata.org/entity/Q10430,Ящерица,201,Lac,http://www.wikidata.org/entity/Q10464
http://www.wikidata.org/entity/Q10430,Ящерица,201,Lac,http://www.wikidata.org/entity/Q10468
http://www.wikidata.org/entity/Q10433,Эридан,1138,Eri,http://www.wikidata.org/entity/Q8839
http://www.wikidata.org/entity/Q10433,Эридан,1138,Eri,http://www.wikidata.org/entity/Q8860
http://www.wikidata.org/entity/Q10433,Эридан,1138,Eri,http://www.wikidata.org/entity/Q8913
http://www.wikidata.org/entity/Q10433,Эридан,1138,Eri,http://www.wikidata.org/entity/Q10416
http://www.wikidata.org/entity/Q10433,Эридан,1138,Eri,http://www.wikidata.org/entity/Q10441
http://www.wikidata.org/entity/Q10433,Эридан,1138,Eri,http://www.wikidata.org/entity/Q10446
http://www.wikidata.org/entity/Q10433,Эридан,1138,Eri,http://www.wikidata.org/entity/Q10488
http://www.wikidata.org/entity/Q10433,Эридан,1138,Eri,http://www.wikidata.org/entity/Q10567
http://www.wikidata.org/entity/Q10433,Эридан,1138,Eri,http://www.wikidata.org/entity/Q10570
http://www.wikidata.org/entity/Q10433,Эридан,1138,Eri,http://www.wikidata.org/entity/Q10574
http://www.wikidata.org/entity/Q10435,Муха,138,Mus,http://www.wikidata.org/entity/Q8844
http://www.wikidata.org/entity/Q10435,Муха,138,Mus,http://www.wikidata.org/entity/Q10457
http://www.wikidata.org/entity/Q10435,Муха,138,Mus,http://www.wikidata.org/entity/Q10470
http://www.wikidata.org/entity/Q10435,Муха,138,Mus,http://www.wikidata.org/entity/Q10506
http://www.wikidata.org/entity/Q10435,Муха,138,Mus,http://www.wikidata.org/entity/Q10508
http://www.wikidata.org/entity/Q10435,Муха,138,Mus,http://www.wikidata.org/entity/Q10542
http://www.wikidata.org/entity/Q10437,Летучая Рыба,141.4,Vol,http://www.wikidata.org/entity/Q8837
http://www.wikidata.org/entity/Q10437,Летучая Рыба,141.4,Vol,http://www.wikidata.org/entity/Q9289
http://www.wikidata.org/entity/Q10437,Летучая Рыба,141.4,Vol,http://www.wikidata.org/entity/Q10457
http://www.wikidata.org/entity/Q10437,Летучая Рыба,141.4,Vol,http://www.wikidata.org/entity/Q10470
http://www.wikidata.org/entity/Q10437,Летучая Рыба,141.4,Vol,http://www.wikidata.org/entity/Q10486
http://www.wikidata.org/entity/Q10438,Малый Конь,72,Equ,http://www.wikidata.org/entity/Q8864
http://www.wikidata.org/entity/Q10438,Малый Конь,72,Equ,http://www.wikidata.org/entity/Q9302
